miRNA,Gene,Disease,Score-m-g,Score-g-d
hsa-miR-590-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,88.6861425353,94.0
hsa-let-7a-2-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,91.01346,94.0
hsa-let-7g-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,91.01346,94.0
hsa-miR-4531,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,91.30798,94.0
hsa-miR-4666b,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,83.0181,94.0
hsa-miR-4775,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,95.2317640702,94.0
hsa-miR-590-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,88.6861425353,94.0
hsa-let-7a-2-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,90.56538,94.0
hsa-let-7g-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,90.56538,94.0
hsa-miR-4531,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,91.08203,94.0
hsa-miR-4666b,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,82.1856,94.0
hsa-miR-4775,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.9834458912,94.0
hsa-miR-590-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,88.250688339,94.0
hsa-miR-4437,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,80.1737193504,94.0
hsa-miR-548ae-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548ah-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548aj-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.3202,94.0
hsa-miR-548am-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548aq-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548j-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548x-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.3202,94.0
hsa-miR-548ae-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548ah-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548aj-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.3202,94.0
hsa-miR-548am-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548aq-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548j-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548x-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.3202,94.0
hsa-miR-548ae-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548ah-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548aj-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.3202,94.0
hsa-miR-548am-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548aq-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548j-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548x-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.3202,94.0
hsa-miR-548ae-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548ah-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548aj-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.3202,94.0
hsa-miR-548am-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548aq-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548j-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548x-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.3202,94.0
hsa-miR-548ae-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548ah-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548aj-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.3202,94.0
hsa-miR-548am-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548aq-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548j-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548x-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.3202,94.0
hsa-miR-548ae-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548ah-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548aj-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.3202,94.0
hsa-miR-548am-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548aq-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548j-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548x-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.3202,94.0
hsa-miR-548ae-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548ah-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548aj-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.3202,94.0
hsa-miR-548am-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548aq-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548j-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548x-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.3202,94.0
hsa-miR-548ae-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548ah-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548aj-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.3202,94.0
hsa-miR-548am-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548aq-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548j-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548x-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.3202,94.0
hsa-miR-548ae-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548ah-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548aj-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.3202,94.0
hsa-miR-548am-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548aq-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548j-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548x-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.3202,94.0
hsa-miR-548ae-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548ah-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548aj-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.3202,94.0
hsa-miR-548am-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548aq-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548j-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548x-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.3202,94.0
hsa-miR-548ae-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548ah-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548aj-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.3202,94.0
hsa-miR-548am-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548aq-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548j-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548x-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.3202,94.0
hsa-miR-548ae-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548ah-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548aj-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.3202,94.0
hsa-miR-548am-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548aq-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548j-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548x-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.3202,94.0
hsa-miR-548ae-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548ah-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548aj-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.3202,94.0
hsa-miR-548am-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548aq-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548j-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548x-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.3202,94.0
hsa-miR-548ae-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548ah-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548aj-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.3202,94.0
hsa-miR-548am-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548aq-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548j-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.2484,94.0
hsa-miR-548x-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,86.3202,94.0
hsa-let-7a-2-3p,LIN28B,Neuroblastoma,81.1816579264,90.0
hsa-let-7a-5p,LIN28B,Neuroblastoma,99.8992084798198,90.0
hsa-let-7b-5p,LIN28B,Neuroblastoma,99.8992084798198,90.0
hsa-let-7c-5p,LIN28B,Neuroblastoma,99.8992084798198,90.0
hsa-let-7d-5p,LIN28B,Neuroblastoma,99.8568497363767,90.0
hsa-let-7e-5p,LIN28B,Neuroblastoma,99.8992084798198,90.0
hsa-let-7f-5p,LIN28B,Neuroblastoma,99.8992084798198,90.0
hsa-let-7g-3p,LIN28B,Neuroblastoma,81.1816579264,90.0
hsa-let-7g-5p,LIN28B,Neuroblastoma,99.8992084798198,90.0
hsa-let-7i-5p,LIN28B,Neuroblastoma,99.8992084798198,90.0
hsa-miR-1200,LIN28B,Neuroblastoma,83.3157,90.0
hsa-miR-1244,LIN28B,Neuroblastoma,84.3116,90.0
hsa-miR-125a-5p,LIN28B,Neuroblastoma,88.7753,90.0
hsa-miR-125b-5p,LIN28B,Neuroblastoma,88.7753,90.0
hsa-miR-1297,LIN28B,Neuroblastoma,88.850740582,90.0
hsa-miR-132-3p,LIN28B,Neuroblastoma,87.5566,90.0
hsa-miR-146a-3p,LIN28B,Neuroblastoma,86.0771281912,90.0
hsa-miR-1537-5p,LIN28B,Neuroblastoma,87.6312,90.0
hsa-miR-181a-5p,LIN28B,Neuroblastoma,94.7161590246979,90.0
hsa-miR-181b-5p,LIN28B,Neuroblastoma,94.7161590246979,90.0
hsa-miR-181c-5p,LIN28B,Neuroblastoma,94.7161590246979,90.0
hsa-miR-181d-5p,LIN28B,Neuroblastoma,94.7161590246979,90.0
hsa-miR-190a-3p,LIN28B,Neuroblastoma,80.4988101909203,90.0
hsa-miR-199a-3p,LIN28B,Neuroblastoma,93.51442,90.0
hsa-miR-199b-3p,LIN28B,Neuroblastoma,93.51442,90.0
hsa-miR-19a-5p,LIN28B,Neuroblastoma,98.0088960278099,90.0
hsa-miR-19b-1-5p,LIN28B,Neuroblastoma,97.5066758725619,90.0
hsa-miR-19b-2-5p,LIN28B,Neuroblastoma,97.5066758725619,90.0
hsa-miR-202-3p,LIN28B,Neuroblastoma,91.4700710916767,90.0
hsa-miR-203a-3p,LIN28B,Neuroblastoma,88.681906954,90.0
hsa-miR-212-3p,LIN28B,Neuroblastoma,87.5566,90.0
hsa-miR-222-5p,LIN28B,Neuroblastoma,88.8678,90.0
hsa-miR-2355-3p,LIN28B,Neuroblastoma,82.4989,90.0
hsa-miR-26a-5p,LIN28B,Neuroblastoma,87.5322905788,90.0
hsa-miR-26b-5p,LIN28B,Neuroblastoma,87.5322905788,90.0
hsa-miR-30a-5p,LIN28B,Neuroblastoma,99.6857447312688,90.0
hsa-miR-30b-5p,LIN28B,Neuroblastoma,99.6857447312688,90.0
hsa-miR-30c-5p,LIN28B,Neuroblastoma,99.6857447312688,90.0
hsa-miR-30d-5p,LIN28B,Neuroblastoma,99.6857447312688,90.0
hsa-miR-30e-5p,LIN28B,Neuroblastoma,99.6857447312688,90.0
hsa-miR-3129-5p,LIN28B,Neuroblastoma,93.51442,90.0
hsa-miR-3163,LIN28B,Neuroblastoma,96.9857909866514,90.0
hsa-miR-32-3p,LIN28B,Neuroblastoma,90.7826097355152,90.0
hsa-miR-3200-5p,LIN28B,Neuroblastoma,84.217224134,90.0
hsa-miR-342-3p,LIN28B,Neuroblastoma,81.7692425960819,90.0
hsa-miR-34a-5p,LIN28B,Neuroblastoma,81.4874,90.0
hsa-miR-3613-3p,LIN28B,Neuroblastoma,85.396929244,90.0
hsa-miR-3617-5p,LIN28B,Neuroblastoma,99.7372091437163,90.0
hsa-miR-3618,LIN28B,Neuroblastoma,95.2415429172,90.0
hsa-miR-3680-3p,LIN28B,Neuroblastoma,88.2393234714546,90.0
hsa-miR-369-3p,LIN28B,Neuroblastoma,90.1979999622116,90.0
hsa-miR-377-3p,LIN28B,Neuroblastoma,96.9972360086336,90.0
hsa-miR-380-3p,LIN28B,Neuroblastoma,91.3965656803226,90.0
hsa-miR-3927-3p,LIN28B,Neuroblastoma,82.8777,90.0
hsa-miR-3938,LIN28B,Neuroblastoma,80.8433,90.0
hsa-miR-3977,LIN28B,Neuroblastoma,94.2175351603947,90.0
hsa-miR-4257,LIN28B,Neuroblastoma,91.4318006218,90.0
hsa-miR-4262,LIN28B,Neuroblastoma,96.054049657898,90.0
hsa-miR-4282,LIN28B,Neuroblastoma,89.8712502825,90.0
hsa-miR-4307,LIN28B,Neuroblastoma,92.6069694646856,90.0
hsa-miR-4319,LIN28B,Neuroblastoma,90.45842,90.0
hsa-miR-4458,LIN28B,Neuroblastoma,99.8286371217882,90.0
hsa-miR-4465,LIN28B,Neuroblastoma,86.8904936296,90.0
hsa-miR-449a,LIN28B,Neuroblastoma,81.4874,90.0
hsa-miR-4500,LIN28B,Neuroblastoma,99.9553531981313,90.0
hsa-miR-466,LIN28B,Neuroblastoma,85.7786088888,90.0
hsa-miR-4660,LIN28B,Neuroblastoma,85.9946912406255,90.0
hsa-miR-4680-3p,LIN28B,Neuroblastoma,92.0069448832,90.0
hsa-miR-4719,LIN28B,Neuroblastoma,89.8988516224,90.0
hsa-miR-4733-5p,LIN28B,Neuroblastoma,95.756414932,90.0
hsa-miR-4735-5p,LIN28B,Neuroblastoma,85.6599,90.0
hsa-miR-4760-3p,LIN28B,Neuroblastoma,82.944587549103,90.0
hsa-miR-4765,LIN28B,Neuroblastoma,89.7073,90.0
hsa-miR-4789-3p,LIN28B,Neuroblastoma,86.6211039581498,90.0
hsa-miR-498-5p,LIN28B,Neuroblastoma,86.4875449917984,90.0
hsa-miR-499a-5p,LIN28B,Neuroblastoma,90.4550124769281,90.0
hsa-miR-5011-5p,LIN28B,Neuroblastoma,96.8513461456632,90.0
hsa-miR-508-5p,LIN28B,Neuroblastoma,80.6850399475,90.0
hsa-miR-5087,LIN28B,Neuroblastoma,90.0309465807844,90.0
hsa-miR-513b-5p,LIN28B,Neuroblastoma,88.4644538894199,90.0
hsa-miR-516b-5p,LIN28B,Neuroblastoma,89.1184,90.0
hsa-miR-520g-3p,LIN28B,Neuroblastoma,82.6321226989981,90.0
hsa-miR-520h,LIN28B,Neuroblastoma,82.6321226989981,90.0
hsa-miR-548ac,LIN28B,Neuroblastoma,95.2433699107562,90.0
hsa-miR-548ae-3p,LIN28B,Neuroblastoma,91.1793578578125,90.0
hsa-miR-548ah-3p,LIN28B,Neuroblastoma,93.1231374821028,90.0
hsa-miR-548aj-3p,LIN28B,Neuroblastoma,93.3807839411215,90.0
hsa-miR-548am-3p,LIN28B,Neuroblastoma,93.1231374821028,90.0
hsa-miR-548aq-3p,LIN28B,Neuroblastoma,91.1793578578125,90.0
hsa-miR-548as-3p,LIN28B,Neuroblastoma,92.24555,90.0
hsa-miR-548au-3p,LIN28B,Neuroblastoma,81.4874,90.0
hsa-miR-548bb-3p,LIN28B,Neuroblastoma,95.2433699107562,90.0
hsa-miR-548c-3p,LIN28B,Neuroblastoma,99.420365210563,90.0
hsa-miR-548d-3p,LIN28B,Neuroblastoma,96.2915748485278,90.0
hsa-miR-548h-3p,LIN28B,Neuroblastoma,95.2433699107562,90.0
hsa-miR-548j-3p,LIN28B,Neuroblastoma,91.1793578578125,90.0
hsa-miR-548m,LIN28B,Neuroblastoma,80.6940259995308,90.0
hsa-miR-548u,LIN28B,Neuroblastoma,81.0950875866185,90.0
hsa-miR-548x-3p,LIN28B,Neuroblastoma,93.3807839411215,90.0
hsa-miR-548z,LIN28B,Neuroblastoma,95.2433699107562,90.0
hsa-miR-5586-3p,LIN28B,Neuroblastoma,86.225,90.0
hsa-miR-5692b,LIN28B,Neuroblastoma,90.5170998691052,90.0
hsa-miR-5692c,LIN28B,Neuroblastoma,90.5170998691052,90.0
hsa-miR-641,LIN28B,Neuroblastoma,99.7372091437163,90.0
hsa-miR-642b-5p,LIN28B,Neuroblastoma,82.8677561056,90.0
hsa-miR-6500-3p,LIN28B,Neuroblastoma,93.514143368,90.0
hsa-miR-6508-5p,LIN28B,Neuroblastoma,93.0083074324,90.0
hsa-miR-6513-3p,LIN28B,Neuroblastoma,95.2166606405477,90.0
hsa-miR-659-3p,LIN28B,Neuroblastoma,97.9173134356677,90.0
hsa-miR-6768-5p,LIN28B,Neuroblastoma,89.0788,90.0
hsa-miR-6831-5p,LIN28B,Neuroblastoma,82.8777,90.0
hsa-miR-6885-3p,LIN28B,Neuroblastoma,96.0427254731814,90.0
hsa-miR-6892-3p,LIN28B,Neuroblastoma,82.3257209704,90.0
hsa-miR-7161-5p,LIN28B,Neuroblastoma,83.1448746479114,90.0
hsa-miR-8062,LIN28B,Neuroblastoma,83.72920361,90.0
hsa-miR-8067,LIN28B,Neuroblastoma,91.451161714,90.0
hsa-miR-8068,LIN28B,Neuroblastoma,97.0654147545599,90.0
hsa-miR-8087,LIN28B,Neuroblastoma,82.7588320993,90.0
hsa-miR-8485,LIN28B,Neuroblastoma,88.5184377748,90.0
hsa-miR-9-5p,LIN28B,Neuroblastoma,98.8540705985204,90.0
hsa-miR-98-5p,LIN28B,Neuroblastoma,99.8992084798198,90.0
hsa-let-7a-2-3p,FMR1,Fragile X Syndrome,82.0702296324,100.0
hsa-let-7a-2-3p,FMR1,FRAGILE X TREMOR/ATAXIA SYNDROME,82.0702296324,90.0
hsa-let-7g-3p,FMR1,Fragile X Syndrome,82.0702296324,100.0
hsa-let-7g-3p,FMR1,FRAGILE X TREMOR/ATAXIA SYNDROME,82.0702296324,90.0
hsa-miR-1245b-3p,FMR1,Fragile X Syndrome,83.20267465,100.0
hsa-miR-1245b-3p,FMR1,FRAGILE X TREMOR/ATAXIA SYNDROME,83.20267465,90.0
hsa-miR-1284,FMR1,Fragile X Syndrome,89.5840254837787,100.0
hsa-miR-1284,FMR1,FRAGILE X TREMOR/ATAXIA SYNDROME,89.5840254837787,90.0
hsa-miR-129-5p,FMR1,Fragile X Syndrome,98.71717918423,100.0
hsa-miR-129-5p,FMR1,FRAGILE X TREMOR/ATAXIA SYNDROME,98.71717918423,90.0
hsa-miR-130a-3p,FMR1,Fragile X Syndrome,92.867017290093,100.0
hsa-miR-130a-3p,FMR1,FRAGILE X TREMOR/ATAXIA SYNDROME,92.867017290093,90.0
hsa-miR-130b-3p,FMR1,Fragile X Syndrome,92.867017290093,100.0
hsa-miR-130b-3p,FMR1,FRAGILE X TREMOR/ATAXIA SYNDROME,92.867017290093,90.0
hsa-miR-139-5p,FMR1,Fragile X Syndrome,94.52809,100.0
hsa-miR-139-5p,FMR1,FRAGILE X TREMOR/ATAXIA SYNDROME,94.52809,90.0
hsa-miR-148a-3p,FMR1,Fragile X Syndrome,81.4243,100.0
hsa-miR-148a-3p,FMR1,FRAGILE X TREMOR/ATAXIA SYNDROME,81.4243,90.0
hsa-miR-148b-3p,FMR1,Fragile X Syndrome,81.4243,100.0
hsa-miR-148b-3p,FMR1,FRAGILE X TREMOR/ATAXIA SYNDROME,81.4243,90.0
hsa-miR-152-3p,FMR1,Fragile X Syndrome,81.4243,100.0
hsa-miR-152-3p,FMR1,FRAGILE X TREMOR/ATAXIA SYNDROME,81.4243,90.0
hsa-miR-1972,FMR1,Fragile X Syndrome,82.8548,100.0
hsa-miR-1972,FMR1,FRAGILE X TREMOR/ATAXIA SYNDROME,82.8548,90.0
hsa-miR-19a-3p,FMR1,Fragile X Syndrome,93.05770745996,100.0
hsa-miR-19a-3p,FMR1,FRAGILE X TREMOR/ATAXIA SYNDROME,93.05770745996,90.0
hsa-miR-19b-3p,FMR1,Fragile X Syndrome,93.05770745996,100.0
hsa-miR-19b-3p,FMR1,FRAGILE X TREMOR/ATAXIA SYNDROME,93.05770745996,90.0
hsa-miR-203b-3p,FMR1,Fragile X Syndrome,80.9498,100.0
hsa-miR-203b-3p,FMR1,FRAGILE X TREMOR/ATAXIA SYNDROME,80.9498,90.0
hsa-miR-2054,FMR1,Fragile X Syndrome,85.0064,100.0
